filename,echo_filepath,farnerd_filepath,mix_filepath,nearend_filepath,target_filepath,split
f03824,/media/m1998cc/n/pythonProject/deepvqe/data/f03824_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03824_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03824_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03824_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03824_target.wav,train
f03465,/media/m1998cc/n/pythonProject/deepvqe/data/f03465_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03465_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03465_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03465_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03465_target.wav,train
f01694,/media/m1998cc/n/pythonProject/deepvqe/data/f01694_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01694_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01694_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01694_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01694_target.wav,train
f07006,/media/m1998cc/n/pythonProject/deepvqe/data/f07006_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07006_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07006_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07006_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07006_target.wav,train
f05360,/media/m1998cc/n/pythonProject/deepvqe/data/f05360_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05360_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05360_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05360_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05360_target.wav,train
f00202,/media/m1998cc/n/pythonProject/deepvqe/data/f00202_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00202_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00202_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00202_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00202_target.wav,train
f03673,/media/m1998cc/n/pythonProject/deepvqe/data/f03673_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03673_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03673_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03673_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03673_target.wav,train
f03797,/media/m1998cc/n/pythonProject/deepvqe/data/f03797_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03797_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03797_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03797_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03797_target.wav,train
f05691,/media/m1998cc/n/pythonProject/deepvqe/data/f05691_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05691_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05691_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05691_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05691_target.wav,train
f04018,/media/m1998cc/n/pythonProject/deepvqe/data/f04018_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04018_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04018_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04018_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04018_target.wav,train
f03121,/media/m1998cc/n/pythonProject/deepvqe/data/f03121_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03121_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03121_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03121_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03121_target.wav,train
f04927,/media/m1998cc/n/pythonProject/deepvqe/data/f04927_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04927_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04927_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04927_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04927_target.wav,train
f09266,/media/m1998cc/n/pythonProject/deepvqe/data/f09266_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09266_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09266_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09266_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09266_target.wav,train
f04237,/media/m1998cc/n/pythonProject/deepvqe/data/f04237_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04237_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04237_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04237_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04237_target.wav,train
f09780,/media/m1998cc/n/pythonProject/deepvqe/data/f09780_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09780_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09780_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09780_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09780_target.wav,train
f04381,/media/m1998cc/n/pythonProject/deepvqe/data/f04381_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04381_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04381_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04381_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04381_target.wav,train
f00039,/media/m1998cc/n/pythonProject/deepvqe/data/f00039_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00039_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00039_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00039_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00039_target.wav,train
f07787,/media/m1998cc/n/pythonProject/deepvqe/data/f07787_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07787_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07787_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07787_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07787_target.wav,train
f09889,/media/m1998cc/n/pythonProject/deepvqe/data/f09889_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09889_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09889_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09889_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09889_target.wav,train
f03148,/media/m1998cc/n/pythonProject/deepvqe/data/f03148_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03148_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03148_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03148_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03148_target.wav,train
f01258,/media/m1998cc/n/pythonProject/deepvqe/data/f01258_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01258_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01258_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01258_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01258_target.wav,train
f04085,/media/m1998cc/n/pythonProject/deepvqe/data/f04085_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04085_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04085_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04085_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04085_target.wav,train
f06685,/media/m1998cc/n/pythonProject/deepvqe/data/f06685_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06685_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06685_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06685_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06685_target.wav,train
f05971,/media/m1998cc/n/pythonProject/deepvqe/data/f05971_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05971_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05971_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05971_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05971_target.wav,train
f09432,/media/m1998cc/n/pythonProject/deepvqe/data/f09432_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09432_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09432_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09432_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09432_target.wav,train
f09253,/media/m1998cc/n/pythonProject/deepvqe/data/f09253_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09253_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09253_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09253_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09253_target.wav,train
f01713,/media/m1998cc/n/pythonProject/deepvqe/data/f01713_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01713_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01713_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01713_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01713_target.wav,train
f01414,/media/m1998cc/n/pythonProject/deepvqe/data/f01414_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01414_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01414_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01414_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01414_target.wav,train
f02365,/media/m1998cc/n/pythonProject/deepvqe/data/f02365_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02365_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02365_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02365_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02365_target.wav,train
f00712,/media/m1998cc/n/pythonProject/deepvqe/data/f00712_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00712_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00712_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00712_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00712_target.wav,train
f09469,/media/m1998cc/n/pythonProject/deepvqe/data/f09469_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09469_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09469_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09469_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09469_target.wav,train
f07403,/media/m1998cc/n/pythonProject/deepvqe/data/f07403_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07403_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07403_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07403_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07403_target.wav,train
f09436,/media/m1998cc/n/pythonProject/deepvqe/data/f09436_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09436_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09436_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09436_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f09436_target.wav,train
f02114,/media/m1998cc/n/pythonProject/deepvqe/data/f02114_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02114_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02114_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02114_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02114_target.wav,train
f04148,/media/m1998cc/n/pythonProject/deepvqe/data/f04148_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04148_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04148_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04148_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04148_target.wav,train
f06695,/media/m1998cc/n/pythonProject/deepvqe/data/f06695_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06695_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06695_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06695_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06695_target.wav,train
f01005,/media/m1998cc/n/pythonProject/deepvqe/data/f01005_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01005_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01005_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01005_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01005_target.wav,train
f06352,/media/m1998cc/n/pythonProject/deepvqe/data/f06352_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06352_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06352_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06352_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06352_target.wav,train
f01215,/media/m1998cc/n/pythonProject/deepvqe/data/f01215_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01215_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01215_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01215_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01215_target.wav,train
f03374,/media/m1998cc/n/pythonProject/deepvqe/data/f03374_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03374_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03374_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03374_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03374_target.wav,train
f08905,/media/m1998cc/n/pythonProject/deepvqe/data/f08905_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08905_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08905_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08905_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08905_target.wav,train
f05238,/media/m1998cc/n/pythonProject/deepvqe/data/f05238_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05238_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05238_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05238_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f05238_target.wav,train
f04764,/media/m1998cc/n/pythonProject/deepvqe/data/f04764_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04764_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04764_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04764_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04764_target.wav,train
f06861,/media/m1998cc/n/pythonProject/deepvqe/data/f06861_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06861_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06861_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06861_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f06861_target.wav,train
f07095,/media/m1998cc/n/pythonProject/deepvqe/data/f07095_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07095_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07095_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07095_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07095_target.wav,train
f00455,/media/m1998cc/n/pythonProject/deepvqe/data/f00455_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00455_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00455_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00455_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00455_target.wav,train
f07570,/media/m1998cc/n/pythonProject/deepvqe/data/f07570_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07570_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07570_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07570_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07570_target.wav,train
f08712,/media/m1998cc/n/pythonProject/deepvqe/data/f08712_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08712_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08712_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08712_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f08712_target.wav,train
f01648,/media/m1998cc/n/pythonProject/deepvqe/data/f01648_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01648_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01648_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01648_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01648_target.wav,train
f00725,/media/m1998cc/n/pythonProject/deepvqe/data/f00725_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00725_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00725_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00725_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00725_target.wav,train
f02008,/media/m1998cc/n/pythonProject/deepvqe/data/f02008_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02008_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02008_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02008_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f02008_target.wav,train
f07820,/media/m1998cc/n/pythonProject/deepvqe/data/f07820_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07820_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07820_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07820_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07820_target.wav,train
f03070,/media/m1998cc/n/pythonProject/deepvqe/data/f03070_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03070_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03070_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03070_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03070_target.wav,train
f07443,/media/m1998cc/n/pythonProject/deepvqe/data/f07443_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07443_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07443_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07443_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f07443_target.wav,train
f03305,/media/m1998cc/n/pythonProject/deepvqe/data/f03305_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03305_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03305_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03305_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03305_target.wav,train
f04140,/media/m1998cc/n/pythonProject/deepvqe/data/f04140_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04140_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04140_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04140_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f04140_target.wav,train
f01150,/media/m1998cc/n/pythonProject/deepvqe/data/f01150_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01150_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01150_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01150_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f01150_target.wav,train
f03111,/media/m1998cc/n/pythonProject/deepvqe/data/f03111_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03111_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03111_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03111_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f03111_target.wav,train
f00023,/media/m1998cc/n/pythonProject/deepvqe/data/f00023_echo.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00023_farend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00023_mic.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00023_nearend.wav,/media/m1998cc/n/pythonProject/deepvqe/data/f00023_target.wav,train
